Jenis Kelamin,Usia,Domisili,Lama Penggunaan Instagram,Rata-rata Durasi Penggunaan Instagram per Hari,Aktivitas Instagram yang Paling Sering Dilakukan  ,X1.1,X1.2,X1.3,X1.4,X1.5,X2.1,X2.3,X2.4,X2.5,Y1,Y2,Y3,Y4,Y5
Perempuan,18–22 tahun,Kabupaten Sumedang,4-6 tahun,3-4 jam,Mengunggah atau melihat Story,4,5,4,3,4,4,3,5,4,4,5,3,4,5
Perempuan,18–22 tahun,Kabupaten Sumedang,1-3 tahun,1-2 jam,Mengakses Feed/Reels,4,4,5,4,4,4,4,4,4,4,2,3,2,2
Laki-laki,>32 tahun,Kabupaten Sumedang,> 6 tahun,> 4 jam,Belanja/promosi/bisnis,4,5,4,5,3,4,5,4,4,4,5,4,3,4
Perempuan,18–22 tahun,Kabupaten Sumedang,1-3 tahun,1-2 jam,Hiburan dan konsumsi konten,4,3,4,4,4,3,3,2,2,2,2,4,2,3
Laki-laki,18–22 tahun,Kabupaten Sumedang,4-6 tahun,1-2 jam,Hiburan dan konsumsi konten,4,4,4,4,4,5,5,5,5,4,4,4,4,4
Perempuan,< 18 tahun,Kabupaten Sumedang,1-3 tahun,1-2 jam,Hiburan dan konsumsi konten,4,4,4,4,4,5,5,5,5,4,4,4,4,4
Perempuan,>32 tahun,Kabupaten Sumedang,> 6 tahun,< 1 jam,Mencari informasi/edukasi,3,4,4,5,2,4,4,5,5,4,4,5,4,4
Laki-laki,< 18 tahun,Kabupaten Sumedang,1-3 tahun,3-4 jam,"Interaksi sosial (chat, komentar, DM)",3,4,4,3,5,4,4,5,5,5,3,4,2,5
Laki-laki,< 18 tahun,Kabupaten Sumedang,1-3 tahun,> 4 jam,Mengakses Feed/Reels,4,5,4,4,4,4,4,4,4,4,4,4,3,4
Laki-laki,>32 tahun,Kabupaten Sumedang,> 6 tahun,1-2 jam,Hiburan dan konsumsi konten,4,5,5,4,3,4,4,4,4,4,4,4,4,4
Perempuan,18–22 tahun,Kabupaten Sumedang,> 6 tahun,3-4 jam,Mengakses Feed/Reels,4,3,3,3,3,3,3,3,3,4,4,5,2,5
Perempuan,18–22 tahun,Kabupaten Sumedang,4-6 tahun,1-2 jam,Mengunggah atau melihat Story,4,4,5,4,5,4,3,5,4,4,5,4,4,4
